Killed 0 pending application instances
INFO 2022-05-09 13:49:13,463 autoreload Watching for file changes with StatReloader
DEBUG 2022-05-09 13:49:13,464 autoreload Waiting for apps ready_event.
DEBUG 2022-05-09 13:49:13,577 autoreload Main Django thread has terminated before apps are ready.
DEBUG 2022-05-09 13:49:14,288 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2022-05-09 13:49:14,295 autoreload Watching dir C:\Users\leont\PycharmProjects\bplocalproject\templates with glob **/*.
DEBUG 2022-05-09 13:49:14,469 autoreload File C:\Users\leont\PycharmProjects\bplocalproject\venv\Lib\site-packages\numpy\matrixlib\__init__.py first seen with mtime 1634321889.0737202
DEBUG 2022-05-09 13:49:14,470 autoreload File C:\Users\leont\PycharmProjects\bplocalproject\venv\Lib\site-packages\django\core\checks\urls.py first seen with mtime 1631533788.0173512
DEBUG 2022-05-09 13:49:14,471 autoreload File C:\Users\leont\PycharmProjects\bplocalproject\venv\Lib\site-packages\django\db\backends\postgresql\creation.py first seen with mtime 1631533788.126701
DEBUG 2022-05-09 13:49:14,471 autoreload File C:\Users\leont\PycharmProjects\bplocalproject\venv\Lib\site-packages\django\template\__init__.py first seen with mtime 1631533788.2870219
DEBUG 2022-05-09 13:49:14,471 autoreload File C:\Users\leont\PycharmProjects\bplocalproject\venv\Lib\site-packages\django\db\models\fields\related.py first seen with mtime 1631533788.1930313
DEBUG 2022-05-09 13:49:14,471 autoreload File C:\Users\leont\PycharmProjects\bplocalproject\venv\Lib\site-packages\django\utils\datetime_safe.py first seen with mtime 1631533788.3543153
DEBUG 2022-05-09 13:49:14,471 autoreload File C:\Users\leont\PycharmProjects\bplocalproject\venv\Lib\site-packages\rest_framework\templatetags\rest_framework.py first seen with mtime 1631810655.7066298
DEBUG 2022-05-09 13:49:14,472 autoreload File C:\Users\leont\PycharmProjects\bplocalproject\venv\Lib\site-packages\numpy\core\_type_aliases.py first seen with mtime 1634321888.6571336
DEBUG 2022-05-09 13:49:14,472 autoreload File C:\Users\leont\AppData\Local\Programs\Python\Python39\Lib\reprlib.py first seen with mtime 1630348526.0
DEBUG 2022-05-09 13:49:14,472 autoreload File C:\Users\leont\AppData\Local\Programs\Python\Python39\Lib\xml\dom\minicompat.py first seen with mtime 1630348526.0
DEBUG 2022-05-09 13:49:14,472 autoreload File C:\Users\leont\AppData\Local\Programs\Python\Python39\Lib\_compat_pickle.py first seen with mtime 1630348524.0
DEBUG 2022-05-09 13:49:14,472 autoreload File C:\Users\leont\PycharmProjects\bplocalproject\venv\Lib\site-packages\_virtualenv.py first seen with mtime 1631533774.3356783
DEBUG 2022-05-09 13:49:14,472 autoreload File C:\Users\leont\PycharmProjects\bplocalproject\venv\Lib\site-packages\django\utils\lorem_ipsum.py first seen with mtime 1631533788.3543153
DEBUG 2022-05-09 13:49:14,472 autoreload File C:\Users\leont\AppData\Local\Programs\Python\Python39\Lib\http\__init__.py first seen with mtime 1630348524.0
DEBUG 2022-05-09 13:49:14,472 autoreload File C:\Users\leont\PycharmProjects\bplocalproject\venv\Lib\site-packages\numpy\lib\arrayterator.py first seen with mtime 1634321888.9890978
DEBUG 2022-05-09 13:49:14,473 autoreload File C:\Users\leont\AppData\Local\Programs\Python\Python39\Lib\keyword.py first seen with mtime 1630348524.0
DEBUG 2022-05-09 13:49:14,473 autoreload File C:\Users\leont\PycharmProjects\bplocalproject\venv\Lib\site-packages\django\core\handlers\asgi.py first seen with mtime 1631533788.0329723
DEBUG 2022-05-09 13:49:14,473 autoreload File C:\Users\leont\AppData\Local\Programs\Python\Python39\Lib\opcode.py first seen with mtime 1630348526.0
DEBUG 2022-05-09 13:49:14,473 autoreload File C:\Users\leont\PycharmProjects\bplocalproject\venv\Lib\site-packages\django\contrib\gis\gdal\raster\band.py first seen with mtime 1631533786.5981514
DEBUG 2022-05-09 13:49:14,473 autoreload File C:\Users\leont\AppData\Local\Programs\Python\Python39\Lib\unittest\result.py first seen with mtime 1630348526.0
DEBUG 2022-05-09 13:49:14,473 autoreload File C:\Users\leont\PycharmProjects\bplocalproject\venv\Lib\site-packages\django\urls\exceptions.py first seen with mtime 1631533788.3386936
DEBUG 2022-05-09 13:49:14,473 autoreload File C:\Users\leont\AppData\Local\Programs\Python\Python39\Lib\ast.py first seen with mtime 1630348524.0
DEBUG 2022-05-09 13:49:14,473 autoreload File C:\Users\leont\PycharmProjects\bplocalproject\venv\Lib\site-packages\django\contrib\admin\helpers.py first seen with mtime 1631533784.9851122
DEBUG 2022-05-09 13:49:14,473 autoreload File C:\Users\leont\PycharmProjects\bplocalproject\venv\Lib\site-packages\django\contrib\gis\geos\linestring.py first seen with mtime 1631533786.6137726
DEBUG 2022-05-09 13:49:14,474 autoreload File C:\Users\leont\PycharmProjects\bplocalproject\venv\Lib\site-packages\sqlparse\__init__.py first seen with mtime 1631533783.5649462
DEBUG 2022-05-09 13:49:14,474 autoreload File C:\Users\leont\PycharmProjects\bplocalproject\venv\Lib\site-packages\numpy\_pytesttester.py first seen with mtime 1634321888.4409862
DEBUG 2022-05-09 13:49:14,474 autoreload File C:\Users\leont\PycharmProjects\bplocalproject\venv\Lib\site-packages\django\db\models\functions\text.py first seen with mtime 1631533788.20101
DEBUG 2022-05-09 13:49:14,474 autoreload File C:\Users\leont\PycharmProjects\bplocalproject\venv\Lib\site-packages\django\utils\log.py first seen with mtime 1631533788.3543153
DEBUG 2022-05-09 13:49:14,474 autoreload File C:\Users\leont\AppData\Local\Programs\Python\Python39\Lib\json\scanner.py first seen with mtime 1630348524.0
DEBUG 2022-05-09 13:49:14,474 autoreload File C:\Users\leont\PycharmProjects\bplocalproject\venv\Lib\site-packages\urllib3\filepost.py first seen with mtime 1649661466.6984527
DEBUG 2022-05-09 13:49:14,474 autoreload File C:\Users\leont\PycharmProjects\bplocalproject\venv\Lib\site-packages\yaml\reader.py first seen with mtime 1632317782.6317651
DEBUG 2022-05-09 13:49:14,474 autoreload File C:\Users\leont\PycharmProjects\bplocalproject\venv\Lib\site-packages\django\contrib\gis\geos\collections.py first seen with mtime 1631533786.5981514
DEBUG 2022-05-09 13:49:14,475 autoreload File C:\Users\leont\AppData\Local\Programs\Python\Python39\Lib\unittest\case.py first seen with mtime 1630348526.0
DEBUG 2022-05-09 13:49:14,475 autoreload File C:\Users\leont\AppData\Local\Programs\Python\Python39\Lib\encodings\__init__.py first seen with mtime 1630348524.0
DEBUG 2022-05-09 13:49:14,475 autoreload File C:\Users\leont\PycharmProjects\bplocalproject\venv\Lib\site-packages\django\db\backends\base\features.py first seen with mtime 1631533788.0954578
DEBUG 2022-05-09 13:49:14,475 autoreload File C:\Users\leont\PycharmProjects\bplocalproject\venv\Lib\site-packages\django\contrib\gis\gdal\prototypes\ds.py first seen with mtime 1631533786.58253
DEBUG 2022-05-09 13:49:14,475 autoreload File C:\Users\leont\PycharmProjects\bplocalproject\venv\Lib\site-packages\rest_framework\metadata.py first seen with mtime 1631810655.3705328
DEBUG 2022-05-09 13:49:14,475 autoreload File C:\Users\leont\PycharmProjects\bplocalproject\venv\Lib\site-packages\numpy\random\_pcg64.cp39-win_amd64.pyd first seen with mtime 1634321889.1270974
DEBUG 2022-05-09 13:49:14,475 autoreload File C:\Users\leont\PycharmProjects\bplocalproject\venv\Lib\site-packages\urllib3\_version.py first seen with mtime 1649661466.6984527
DEBUG 2022-05-09 13:49:14,475 autoreload File C:\Users\leont\PycharmProjects\bplocalproject\venv\Lib\site-packages\django\contrib\admin\widgets.py first seen with mtime 1631533785.000734
DEBUG 2022-05-09 13:49:14,475 autoreload File C:\Users\leont\PycharmProjects\bplocalproject\venv\Lib\site-packages\django\utils\itercompat.py first seen with mtime 1631533788.3543153
DEBUG 2022-05-09 13:49:14,476 autoreload File C:\Users\leont\PycharmProjects\bplocalproject\venv\Lib\site-packages\django\db\models\manager.py first seen with mtime 1631533788.179069
DEBUG 2022-05-09 13:49:14,476 autoreload File C:\Users\leont\AppData\Local\Programs\Python\Python39\Lib\gettext.py first seen with mtime 1630348524.0
DEBUG 2022-05-09 13:49:14,476 autoreload File C:\Users\leont\PycharmProjects\bplocalproject\venv\Lib\site-packages\rest_framework\schemas\openapi.py first seen with mtime 1631810655.6198616
DEBUG 2022-05-09 13:49:14,476 autoreload File C:\Users\leont\PycharmProjects\bplocalproject\venv\Lib\site-packages\django\views\generic\detail.py first seen with mtime 1631533788.3855574
DEBUG 2022-05-09 13:49:14,476 autoreload File C:\Users\leont\PycharmProjects\bplocalproject\venv\Lib\site-packages\django\http\request.py first seen with mtime 1631533788.2717962
DEBUG 2022-05-09 13:49:14,476 autoreload File C:\Users\leont\PycharmProjects\bplocalproject\venv\Lib\site-packages\django\template\loaders\base.py first seen with mtime 1631533788.323074
DEBUG 2022-05-09 13:49:14,476 autoreload File C:\Users\leont\PycharmProjects\bplocalproject\venv\Lib\site-packages\django\urls\utils.py first seen with mtime 1631533788.3386936
DEBUG 2022-05-09 13:49:14,476 autoreload File C:\Users\leont\PycharmProjects\bplocalproject\venv\Lib\site-packages\asgiref\sync.py first seen with mtime 1631533784.4360402
